Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.67,157479507,1522826832.69,6.89
TENCENT HOLDINGS,700 HK,Hong Kong,438.2,3066592,1343780614.4,6.08
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,109.9,11282464,1239942793.6,5.61
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.69,135024859,1038341165.71,4.7
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1135.0,832556,944951060.0,4.27
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,28.06,29728155,834172029.3,3.77
CHINA MOBILE,941 HK,Hong Kong,79.5,10196540,810624930.0,3.67
MEITUAN-CLASS B,3690 HK,Hong Kong,78.75,9099934,716619802.5,3.24
BANK OF CHINA,3988 HK,Hong Kong,6.0,116396858,698381148.0,3.16
CNOOC,883 HK,Hong Kong,25.02,25528222,638716114.44,2.89
PING AN INSURANCE GROUP,2318 HK,Hong Kong,55.45,10976505,608647202.25,2.75
BYD,1211 HK,Hong Kong,85.25,6031824,514212996.0,2.33
NETEASE INC,9999 HK,Hong Kong,186.8,2593914,484543135.2,2.19
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,68.25,6880261,469577813.25,2.12
BEONE MEDICINES,6160 HK,Hong Kong,219.4,1985467,435611459.8,1.97
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.98,12185992,365336040.16,1.65
ZIJIN MINING GROUP,2899 HK,Hong Kong,35.8,9808835,351156293.0,1.59
PETROCHINA,857 HK,Hong Kong,10.1,34552395,348979189.5,1.58
LENOVO GROUP,992 HK,Hong Kong,30.6,11173432,341907019.2,1.55
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.75,6390298,330697921.5,1.5
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.58,47820353,314657922.74,1.42
JD.COM INC-CLASS A,9618 HK,Hong Kong,108.6,2609931,283438506.6,1.28
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,101.8,2699438,274802788.4,1.24
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.54,5254351,239283144.54,1.08
BAIDU INC-CLASS A,9888 HK,Hong Kong,92.35,2476962,228747440.7,1.03
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,353.0,575491,203148323.0,0.92
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,17.25,11298783,194904006.75,0.88
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,154.2,1207979,186270361.8,0.84
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.06,10609856,181004143.36,0.82
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.75,36998343,175742129.25,0.79
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,76.4,2290010,174956764.0,0.79
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,33.64,4990200,167870328.0,0.76
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,46.68,3468066,161889320.88,0.73
TRIP.COM GROUP,9961 HK,Hong Kong,343.8,451613,155264549.4,0.7
CHINA RESOURCES LAND,1109 HK,Hong Kong,29.44,5254881,154703696.64,0.7
NONGFU SPRING,9633 HK,Hong Kong,41.8,3297911,137852679.8,0.62
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.64,5719695,129493894.8,0.59
CITIC,267 HK,Hong Kong,13.5,9527904,128626704.0,0.58
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.17,13209227,121128611.59,0.55
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,43.4,2663967,115616167.8,0.52
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.93,14333708,113666304.44,0.51
AKESO INC,9926 HK,Hong Kong,87.8,1207392,106009017.6,0.48
LI AUTO INC-CLASS A,2015 HK,Hong Kong,45.86,2298351,105402376.86,0.48
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,163.5,630427,103074814.5,0.47
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.53,17884232,98899802.96,0.45
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,35.12,2480327,87109084.24,0.39
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.305,19195097,82634892.59,0.37
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.87,6273155,80735504.85,0.37
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10000000,78419686.48,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.0,1840253,68089361.0,0.31
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.57,10022849,55827268.93,0.25
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,36.6,1353785,49548531.0,0.22
CALL HSCEI WEEKLY OPTION 09/04/26 8525,,,13.0,-365,-237250.0,0.0
CALL HSCEI WEEKLY OPTION 09/04/26 8550,,,8.0,-15500,-6200000.0,-0.03
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8435.0,10163,-30934250.0,-0.14
CALL HSCEI 09/29/26 C8600 OTC,,,86.0,-8500,-36550000.0,-0.17
CALL HSCEI 09/29/26 C8600 OTC,,,86.0,-9000,-38700000.0,-0.18
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,86.0,-18710,-80453000.0,-0.36
